function	13-(11)-S-F-KE	20-(11)-S-F-KL	27-(11)-S-F-KS	49-(11)-C-F-LO	47-(11)-C-F-LM	50-(11)-C-F-LP
Arabinan	11.939792240831036	15.817541422760193	35.259697170778786	39.001753560583374	47.49342441015977	34.43754064012715
Pectin	11.9313122747509	15.817541422760193	35.30494058032213	38.11641931482828	46.6768735523888	34.31110468896756
Arabinose Cleavage	11.939792240831036	15.817541422760193	35.32002171683658	40.07099781874171	49.41899265889373	36.04147099198035
Polyphenolics	0	0	0	0	0	0
Xyloglucan	11.939792240831036	15.817541422760193	35.32002171683658	39.35246567725931	47.681859223491536	34.83491077234304
Amorphous Cellulose	11.939792240831036	15.817541422760193	35.32002171683658	39.35246567725931	47.681859223491536	34.83491077234304
Xylans	11.939792240831036	15.817541422760193	35.32002171683658	39.35246567725931	47.681859223491536	34.83491077234304
Mixed-Linkage Glucans	11.939792240831036	15.817541422760193	35.32002171683658	39.35246567725931	47.681859223491536	34.83491077234304
Crystalline Cellulose	11.939792240831036	15.817541422760193	35.32002171683658	39.001753560583374	47.520904487103984	34.43754064012715
Alpha-Galactans	11.939792240831036	15.817541422760193	35.32002171683658	39.001753560583374	47.520904487103984	34.43754064012715
Chitin	11.939792240831036	15.817541422760193	35.32002171683658	39.001753560583374	47.520904487103984	34.43754064012715
Beta-Galactan (Pectic Galactan)	0.7504769980920076	1.4758408572278996	35.32002171683658	39.35246567725931	46.09390334864366	34.34722924644173
Alpha-Mannan	11.9313122747509	15.817541422760193	35.30494058032213	38.11641931482828	46.6768735523888	34.31110468896756
Starch	11.939792240831036	15.817541422760193	35.32002171683658	40.07099781874171	49.41899265889373	36.04147099198035
Fucose Cleavage	11.939792240831036	15.817541422760193	35.32002171683658	40.07099781874171	49.41899265889373	36.04147099198035
Rhamnose Cleavage	11.939792240831036	15.817541422760193	35.32002171683658	39.001753560583374	47.520904487103984	34.43754064012715
Sulf-Polysachharides	11.939792240831036	15.817541422760193	35.32002171683658	39.001753560583374	47.520904487103984	34.43754064012715
Mucin	11.939792240831036	15.817541422760193	35.32002171683658	39.001753560583374	47.520904487103984	34.43754064012715
Beta-Mannan	11.939792240831036	15.817541422760193	35.32002171683658	40.07099781874171	49.41899265889373	36.04147099198035
Galactose	11.939792240831036	15.817541422760193	35.32002171683658	40.07099781874171	49.41899265889373	36.04147099198035
Galacturonic Acid	0.00847996608013568	0	0.5097424141883332	1.7321756982165004	1.8607937816511602	0.9067263926016906
Lactose	11.9313122747509	15.817541422760193	35.30494058032213	38.11641931482828	46.6768735523888	34.31110468896756
Hexose	0	0	0	0	0	0
Fructose	11.197795208819164	14.35906339914674	14.248657778850212	1.7706684915102004	3.7785105798296237	3.1608987789899574
Mannose	11.939792240831036	15.800178589145748	35.32002171683658	38.90338308883281	47.14403486044046	32.53738891698576
Fucose	0	0.017362833614445877	0.4946612776738855	0.8853342457551003	1.3465237702665567	2.5467813019290513
Sucrose	11.939792240831036	15.817541422760193	35.24763226156723	38.56550190325478	46.712205079888506	34.188281193555376
Xylose	0	0.017362833614445877	0.4946612776738855	0.8853342457551003	1.3465237702665567	2.5467813019290513
Acetate	0	0	0	0	0	0
Butyrate	0.741997032011872	1.4758408572278996	21.071363937986366	37.62028997904281	44.233109566992496	33.44050285384004
Propionate	0	0	0.48259636846232734	0.35071211667593344	0.18843481333176304	0.39737013221588036
Alcohol	11.197795208819164	14.341700565532294	13.814321047234118	0.8853342457551002	2.459466886507282	0.614117477060906
Lactate	0	0	0	0	0	0
Denitrification (Not ETC)	0	0	0	0	0	0
Sulfate Reduction	0	0	0	0	0	0
Fumarate Reduction	11.189315242739028	14.341700565532294	13.73891536466188	0	1.5879558748478781	0.4876815259013077
TMAO	0	0	0	0	0	0
Aerobic	0	0	0	0	0	0
Tetrathionate Reduction	0	0	0	0	0	0
Microaerophillic	0.741997032011872	1.4584780236134538	21.071363937986366	37.58179718574911	43.903348643661914	31.67401199335308
